#{"t_start": 1764660792.2446072, "env_id": "None"}
r,l,t
-0.9901862,6,185.336986
-216.0,256,185.487502
-223.0,256,185.638435
-233.0,256,185.795606
-220.0,256,186.13763
-237.0,256,186.298361
-235.0,256,186.854941
-234.0,256,187.062259
-212.0,256,187.27705
-238.0,256,187.534431
-234.0,256,187.699936
-215.0,256,187.931776
-234.0,256,188.098403
-242.0,256,188.178648
-231.0,256,188.583195
-231.0,256,188.72896
-24.881672,58,188.985955
-223.0,256,189.097892
-232.0,256,189.097952
-232.0,256,189.29792
-26.890488,54,189.345836
-216.0,256,189.397395
-230.0,256,189.397444
-233.0,256,189.664008
-226.0,256,189.708165
-232.0,256,189.990184
-236.0,256,190.363431
-128.6818,138,191.329025
-221.0,256,191.757124
-220.0,256,191.980351
-185.41927,212,192.066259
-215.0,256,192.187986
-89.204506,95,192.338325
0.98425096,9,192.338399
-175.24207,242,192.51311
-230.0,256,192.609014
-214.0,256,192.927837
-213.0,256,193.672729
-236.0,256,193.817516
-223.0,256,193.973991
-219.0,256,194.128148
-224.0,256,194.470527
-237.0,256,194.636418
-162.61473,219,195.07139
-210.0,256,195.574103
-221.0,256,195.979614
-219.0,256,196.412452
-236.0,256,196.496266
-241.0,256,196.890287
-220.0,256,197.025496
-203.0,256,197.265811
-210.0,256,197.369043
-205.0,256,197.369093
-212.0,256,197.610882
-225.0,256,197.659846
-231.0,256,197.659895
-0.9722718,15,197.900012
-224.0,256,197.954281
-218.0,256,198.00359
-214.0,256,198.308405
-228.0,256,198.6735
-241.0,256,199.658699
-208.0,256,200.080179
-214.0,256,200.376693
-228.0,256,200.497251
-220.0,256,200.652976
-219.0,256,200.653029
-225.0,256,200.841822
-225.0,256,200.932764
-1.9822646,10,201.044186
-217.0,256,201.291097
0.9822646,10,201.605376
-217.0,256,202.06874
-225.0,256,202.217007
-236.0,256,202.374124
-223.0,256,202.519053
-229.0,256,202.89839
-239.0,256,203.068188
-49.16849,80,203.374209
-237.0,256,203.522718
0.9901862,6,203.598337
-68.831505,80,203.730784
-221.0,256,204.058177
-245.0,256,204.474558
-4.0217204,12,204.854796
-240.0,256,204.914583
-212.0,256,205.00196
-0.99215674,5,205.131157
-231.0,256,205.43639
-209.0,256,205.570674
-243.0,256,205.826891
-221.0,256,205.949809
-230.0,256,206.194843
-239.0,256,206.25042
-222.0,256,206.250495
0.97427857,14,206.470037
-229.0,256,206.523294
-215.0,256,206.574155
-223.0,256,206.625404
-222.0,256,206.93674
-158.47598,199,207.320837
-226.0,256,207.380377
0.98821175,7,207.578568
-210.0,256,208.37438
-227.0,256,208.822728
